"id","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
"5",5,3.6,1.4,0.2,"setosa"
"10",4.9,3.1,1.5,0.1,"setosa"
"14",4.3,3,1.1,0.1,"setosa"
"15",5.8,4,1.2,0.2,"setosa"
"21",5.4,3.4,1.7,0.2,"setosa"
"22",5.1,3.7,1.5,0.4,"setosa"
"24",5.1,3.3,1.7,0.5,"setosa"
"25",4.8,3.4,1.9,0.2,"setosa"
"32",5.4,3.4,1.5,0.4,"setosa"
"33",5.2,4.1,1.5,0.1,"setosa"
"34",5.5,4.2,1.4,0.2,"setosa"
"35",4.9,3.1,1.5,0.2,"setosa"
"38",4.9,3.6,1.4,0.1,"setosa"
"39",4.4,3,1.3,0.2,"setosa"
"42",4.5,2.3,1.3,0.3,"setosa"
"43",4.4,3.2,1.3,0.2,"setosa"
"45",5.1,3.8,1.9,0.4,"setosa"
"46",4.8,3,1.4,0.3,"setosa"
"47",5.1,3.8,1.6,0.2,"setosa"
"48",4.6,3.2,1.4,0.2,"setosa"
"51",7,3.2,4.7,1.4,"versicolor"
"54",5.5,2.3,4,1.3,"versicolor"
"57",6.3,3.3,4.7,1.6,"versicolor"
"59",6.6,2.9,4.6,1.3,"versicolor"
"62",5.9,3,4.2,1.5,"versicolor"
"63",6,2.2,4,1,"versicolor"
"64",6.1,2.9,4.7,1.4,"versicolor"
"65",5.6,2.9,3.6,1.3,"versicolor"
"66",6.7,3.1,4.4,1.4,"versicolor"
"71",5.9,3.2,4.8,1.8,"versicolor"
"73",6.3,2.5,4.9,1.5,"versicolor"
"75",6.4,2.9,4.3,1.3,"versicolor"
"82",5.5,2.4,3.7,1,"versicolor"
"87",6.7,3.1,4.7,1.5,"versicolor"
"89",5.6,3,4.1,1.3,"versicolor"
"90",5.5,2.5,4,1.3,"versicolor"
"91",5.5,2.6,4.4,1.2,"versicolor"
"96",5.7,3,4.2,1.2,"versicolor"
"97",5.7,2.9,4.2,1.3,"versicolor"
"101",6.3,3.3,6,2.5,"virginica"
"102",5.8,2.7,5.1,1.9,"virginica"
"104",6.3,2.9,5.6,1.8,"virginica"
"107",4.9,2.5,4.5,1.7,"virginica"
"110",7.2,3.6,6.1,2.5,"virginica"
"113",6.8,3,5.5,2.1,"virginica"
"115",5.8,2.8,5.1,2.4,"virginica"
"118",7.7,3.8,6.7,2.2,"virginica"
"119",7.7,2.6,6.9,2.3,"virginica"
"120",6,2.2,5,1.5,"virginica"
"127",6.2,2.8,4.8,1.8,"virginica"
"129",6.4,2.8,5.6,2.1,"virginica"
"133",6.4,2.8,5.6,2.2,"virginica"
"134",6.3,2.8,5.1,1.5,"virginica"
"136",7.7,3,6.1,2.3,"virginica"
"141",6.7,3.1,5.6,2.4,"virginica"
"142",6.9,3.1,5.1,2.3,"virginica"
"143",5.8,2.7,5.1,1.9,"virginica"
"145",6.7,3.3,5.7,2.5,"virginica"
"146",6.7,3,5.2,2.3,"virginica"
"148",6.5,3,5.2,2,"virginica"
